FID,OM,YR,MO,DY,DATE,TIME,TZ,ST,STF,STN,MAG,INJ,FAT,LOSS,CLOSS,SLAT,SLON,ELAT,ELON,LEN,WID,Shape_Leng
27646,746,1999,1,17,1/17/1999,18:09:00,3,TN,47,3,3,4,0,1.6,0,35.77,-89.12,35.82,-89,10,0,0.13
27648,747,1999,1,17,1/17/1999,18:15:00,3,TN,47,4,3,2,0,25.1,0,35.42,-89.18,35.62,-88.85,22,300,0.385876
27651,748,1999,1,17,1/17/1999,18:25:00,3,TN,47,5,4,106,6,10,0,35.58,-88.88,35.63,-88.68,16,500,0.206155
27653,751,1999,1,17,1/17/1999,18:35:00,3,TN,47,7,1,4,1,0.41,0,35.02,-89.18,35.07,-88.97,12,350,0.21587
27656,750,1999,1,17,1/17/1999,19:05:00,3,TN,47,6,1,1,1,0.75,0,35.97,-88.67,35.98,-88.55,10,0,0.120416
27666,782,1999,1,21,1/21/1999,23:28:00,3,TN,47,8,0,0,0,0,0,36.38,-89.48,36.38,-89.48,0.1,10,0
27674,783,1999,1,22,1/22/1999,11:25:00,3,TN,47,9,0,0,0,0,0,35.43,-88.67,35.43,-88.67,0.1,10,0
27676,784,1999,1,22,1/22/1999,12:05:00,3,TN,47,10,0,0,0,0,0,35.05,-88.82,35.05,-88.82,0.1,10,0
28230,785,1999,1,22,1/22/1999,4:25:00,3,TN,47,11,1,0,0,0.3,0,35.15,-89.78,35.2,-89.67,3.5,100,0.12083
28358,505,1994,6,9,6/9/1994,11:58:00,3,TN,47,5,0,0,0,3,0,35.13,-90.02,35.13,-90.02,0.5,10,0.000144
28364,506,1994,6,9,6/9/1994,12:10:00,3,TN,47,6,1,0,0,5,0,35.13,-90.02,35.13,-89.92,5,100,0.1
28369,607,1994,6,26,6/26/1994,17:00:00,3,TN,47,11,0,0,0,2,0,35.77,-89.8,35.77,-89.8,0.5,10,0.000145
28375,1063,1994,11,27,11/27/1994,14:00:00,3,TN,47,24,1,0,0,4,0,35.58,-89.82,35.58,-89.82,0.5,20,0.000145
28393,1068,1994,11,27,11/27/1994,15:15:00,3,TN,47,27,3,25,3,7,0,35.07,-89.83,35.32,-89.65,16,200,0.308059
28432,383,1995,5,15,5/15/1995,9:45:00,3,TN,47,14,0,0,0,3,0,35.13,-90.02,35.13,-90.02,0.5,23,0.000144
28682,1155,1996,9,16,9/16/1996,7:25:00,3,TN,47,11,0,0,0,0.004,0,35.62,-89.73,35.73,-89.55,16,50,0.21095
28832,25,1990,2,9,2/9/1990,15:34:00,3,TN,47,1,1,0,0,4,0,35.77,-89.8,35.77,-89.8,2,40,0.000145
28899,150,1991,3,27,3/27/1991,13:20:00,3,TN,47,6,1,0,0,2,0,35.13,-90.02,35.13,-90.02,0.5,50,0.000144
28916,1121,1991,11,19,11/19/1991,17:05:00,3,TN,47,9,1,0,0,6,0,35.13,-90.02,35.28,-89.93,10,50,0.174929
28926,86,1992,3,18,3/18/1992,8:20:00,3,TN,47,1,0,0,0,4,0,35.22,-89.77,35.22,-89.77,1.5,50,0.000144
