FID,OM,YR,MO,DY,DATE,TIME,TZ,ST,STF,STN,MAG,INJ,FAT,LOSS,CLOSS,SLAT,SLON,ELAT,ELON,LEN,WID,Shape_Leng
23441,636,1980,7,6,7/6/1980,13:00:00,3,TN,47,13,2,0,0,5,0,36.58,-83.25,36.42,-83.22,11.5,300,0.162788
23611,653,1980,7,10,7/10/1980,12:30:00,3,TN,47,15,3,12,0,5,0,36.2,-82.35,36.18,-82.32,1.9,100,0.036056
23935,582,1989,6,16,6/16/1989,14:00:00,3,TN,47,9,1,0,0,4,0,36.37,-82.25,36.37,-82.25,1,30,0.000148
24320,21,1980,3,7,3/7/1980,17:30:00,3,TN,47,1,1,0,0,3,0,35.67,-83.77,35.67,-83.77,0.1,20,0.000147
24362,132,1980,4,8,4/8/1980,16:31:00,3,TN,47,5,1,0,0,4,0,35.12,-84.78,35.17,-84.72,5.2,50,0.078103
24369,193,1980,4,28,4/28/1980,17:05:00,3,TN,47,6,2,1,0,5,0,35.25,-84.33,35.27,-84.28,3.3,50,0.053852
24379,591,1980,6,24,6/24/1980,15:20:00,3,TN,47,10,0,0,0,4,0,35,-85.2,35,-85.2,0.1,10,0.000145
24401,318,1981,5,27,5/27/1981,18:40:00,3,TN,47,3,0,0,0,4,0,36.03,-84.17,36.03,-84.17,0.4,50,0.000147
24459,675,1985,11,27,11/27/1985,14:00:00,3,TN,47,9,1,0,0,4,0,36.13,-83.28,36.13,-83.28,2,40,0.000148
24466,15,1986,2,6,2/6/1986,15:18:00,3,TN,47,1,3,5,0,6,0,35.23,-84.82,35.28,-84.6,10,270,0.22561
24517,454,1983,6,4,6/4/1983,0:00:00,3,TN,47,2,1,0,0,5,0,35.7,-85.27,35.72,-85.38,4,73,0.111803
24526,455,1983,6,4,6/4/1983,1:15:00,3,TN,47,3,1,0,0,5,0,35.55,-85.05,35.77,-84.78,20,50,0.348282
24557,357,1986,5,26,5/26/1986,12:00:00,3,TN,47,5,0,0,0,4,0,36.62,-85.2,36.62,-85.2,0.8,23,0.000148
24659,822,1989,11,15,11/15/1989,18:45:00,3,TN,47,13,1,0,0,4,0,35.12,-84.93,35.15,-84.85,3,30,0.08544
24785,775,1983,8,22,8/22/1983,21:25:00,3,TN,47,4,0,0,0,1,0,35.47,-85.32,35.47,-85.32,0.3,10,0.000146
24797,372,1984,5,7,5/7/1984,15:05:00,3,TN,47,25,1,0,0,4,0,36.18,-85.32,36.18,-85.32,1,50,0.000147
24801,373,1984,5,7,5/7/1984,15:30:00,3,TN,47,26,1,0,0,4,0,36.18,-85.02,36.18,-85.02,0.5,30,0.000147
24804,375,1984,5,7,5/7/1984,17:20:00,3,TN,47,27,2,0,0,5,0,35.73,-84.35,35.73,-84.35,1,70,0.000147
25329,174,1986,4,20,4/20/1986,18:25:00,3,TN,47,4,1,6,0,5,0,35.08,-85.6,35.08,-85.6,0.2,27,0.000145
25375,276,1988,6,18,6/18/1988,16:05:00,3,TN,47,7,2,0,0,4,0,35.08,-86.45,35,-86.35,7,73,0.128063
25397,690,1988,12,24,12/24/1988,6:04:00,3,TN,47,11,4,7,1,7,0,35.92,-86.9,36.03,-86.78,6,150,0.162788
25435,46,1980,3,24,3/24/1980,12:30:00,3,TN,47,2,2,2,0,5,0,35.85,-86.38,35.87,-86.35,1.9,150,0.036056
25437,109,1980,4,8,4/8/1980,10:20:00,3,TN,47,3,0,0,0,2,0,35.58,-86.7,35.58,-86.7,0.1,50,0.000146
25439,110,1980,4,8,4/8/1980,10:46:00,3,TN,47,4,1,0,0,4,0,35.8,-86.52,35.8,-86.52,0.5,50,0.000146
25446,256,1980,5,17,5/17/1980,14:30:00,3,TN,47,7,1,1,0,5,0,36.25,-86.6,36.25,-86.6,0.7,200,0.000147
25447,257,1980,5,17,5/17/1980,14:30:00,3,TN,47,8,1,3,0,4,0,36.33,-86.45,36.33,-86.45,0.2,20,0.000147
