FID,OM,YR,MO,DY,DATE,TIME,TZ,ST,STF,STN,MAG,INJ,FAT,LOSS,CLOSS,SLAT,SLON,ELAT,ELON,LEN,WID,Shape_Leng
23253,490,1977,6,24,6/24/1977,16:30:00,3,TN,47,3,1,0,0,4,0,36.17,-82.83,36.17,-82.77,3.8,100,0.06
23287,791,1977,10,1,10/1/1977,14:35:00,3,TN,47,6,1,10,0,6,0,36.58,-82.42,36.48,-82.15,16.2,77,0.287924
23617,1072,1973,12,13,12/13/1973,8:00:00,3,TN,47,24,1,1,0,4,0,36.17,-82.83,36.17,-82.83,0.5,440,0.000148
23698,223,1974,4,3,4/3/1974,21:00:00,3,TN,47,30,0,0,0,3,0,35.92,-83.03,35.92,-83.03,0.5,27,0.000147
23718,239,1974,4,4,4/4/1974,1:30:00,3,TN,47,41,0,0,0,3,0,36.4,-83.03,36.4,-83.03,0.5,27,0.000148
23732,240,1974,4,4,4/4/1974,2:00:00,3,TN,47,42,0,2,0,5,0,36.52,-82.5,36.62,-82.2,18,2500,0.316228
23884,154,1975,3,24,3/24/1975,7:30:00,3,TN,47,7,1,0,0,4,0,36.28,-82.75,36.28,-82.75,0.5,100,0.000148
23994,34,1976,2,18,2/18/1976,13:07:00,3,TN,47,3,2,10,0,6,0,35.95,-83.22,35.95,-83.22,1,33,0.000147
24218,678,1977,8,12,8/12/1977,18:30:00,3,TN,47,4,0,0,0,4,0,35.03,-85.27,35.03,-85.27,0.1,17,0.000145
24221,775,1977,9,25,9/25/1977,14:00:00,3,TN,47,5,0,0,0,3,0,35.92,-84.98,35.97,-84.92,5.1,100,0.078103
24250,792,1977,10,1,10/1/1977,15:45:00,3,TN,47,7,0,2,0,5,0,36.28,-83.65,36.28,-83.65,2,33,0.000148
24252,794,1977,10,1,10/1/1977,16:30:00,3,TN,47,8,0,1,0,5,0,36.42,-85.45,36.37,-85.33,7.2,440,0.13
24255,795,1977,10,1,10/1/1977,19:15:00,3,TN,47,9,1,0,0,5,0,36.3,-83.77,36.33,-83.7,4.3,440,0.076158
24259,797,1977,10,1,10/1/1977,23:15:00,3,TN,47,10,0,0,0,4,0,35.8,-84.52,35.8,-84.52,0.2,100,0.000147
24268,833,1977,12,5,12/5/1977,8:40:00,3,TN,47,15,1,1,0,5,0,35.38,-84.7,35.33,-84.63,5.1,100,0.086023
24481,1034,1973,11,26,11/26/1973,17:45:00,3,TN,47,20,1,0,0,4,0,36.43,-85.33,36.43,-85.33,2,10,0.000147
24487,1071,1973,12,13,12/13/1973,7:50:00,3,TN,47,23,2,3,0,5,0,35.18,-84.65,35.18,-84.65,0.8,880,0.000146
24502,65,1974,3,21,3/21/1974,0:40:00,3,TN,47,1,2,7,0,5,0,35,-84.75,35,-84.75,0.8,300,0.000146
24566,111,1974,4,3,4/3/1974,13:05:00,3,TN,47,5,3,100,1,5,0,35.1,-84.92,35.25,-84.67,18.1,350,0.291548
24587,122,1974,4,3,4/3/1974,14:00:00,3,TN,47,6,2,2,0,5,0,35.78,-83.92,35.78,-83.92,0.5,50,0.000147
24611,128,1974,4,3,4/3/1974,14:30:00,3,TN,47,7,1,32,1,3,0,35.33,-84.57,35.33,-84.5,3.6,27,0.07
24642,133,1974,4,3,4/3/1974,14:50:00,3,TN,47,9,1,2,0,4,0,35.25,-85.02,35.3,-84.93,5.9,27,0.102956
24702,151,1974,4,3,4/3/1974,16:00:00,3,TN,47,10,2,2,0,5,0,35.67,-84.17,35.67,-84.15,0.1,100,0.02
24708,152,1974,4,3,4/3/1974,16:00:00,3,TN,47,11,2,0,0,5,0,35.52,-84.35,35.52,-84.35,1,200,0.000146
24750,156,1974,4,3,4/3/1974,16:15:00,3,TN,47,12,3,50,3,5,0,35.18,-84.87,35.32,-84.55,21.2,500,0.349285
24769,270,1972,5,14,5/14/1972,20:30:00,3,TN,47,7,2,3,0,4,0,36.37,-84.8,36.37,-84.8,1,50,0.000148
24774,452,1972,6,28,6/28/1972,13:00:00,3,TN,47,8,2,0,0,4,0,36,-85.03,36,-85.03,0.1,40,0.000147
24776,454,1972,6,28,6/28/1972,17:40:00,3,TN,47,9,1,3,0,5,0,35.75,-83.92,35.75,-83.92,0.5,27,0.000147
24787,342,1973,5,10,5/10/1973,13:15:00,3,TN,47,7,1,0,0,4,0,36.2,-85.3,36.2,-85.3,0.1,10,0.000147
24791,350,1973,5,10,5/10/1973,21:30:00,3,TN,47,8,1,0,0,3,0,36.35,-83.52,36.35,-83.52,0.1,10,0.000148
24796,387,1973,5,23,5/23/1973,16:00:00,3,TN,47,15,1,0,0,4,0,35.92,-85.08,35.92,-85.08,1,100,0.000147
24839,187,1974,4,3,4/3/1974,18:15:00,3,TN,47,19,2,11,0,4,0,36.52,-84.87,36.8,-84.52,27.4,400,0.448219
24850,192,1974,4,3,4/3/1974,18:30:00,3,TN,47,20,1,0,0,4,0,36.38,-85.33,36.42,-85.27,4.3,200,0.072111
24866,207,1974,4,3,4/3/1974,19:15:00,3,TN,47,25,4,51,10,6,0,36.03,-85.57,36.25,-85.13,28.4,700,0.491935
24873,211,1974,4,3,4/3/1974,19:30:00,3,TN,47,26,4,6,5,6,0,36.52,-85.08,36.63,-84.88,11,300,0.228254
24877,215,1974,4,3,4/3/1974,19:50:00,3,TN,47,27,4,150,7,6,0,36.25,-85.08,36.43,-84.83,18.8,200,0.308059
24894,228,1974,4,3,4/3/1974,22:30:00,3,TN,47,32,3,120,3,6,0,36.35,-85.38,36.43,-85.25,9.4,400,0.152643
24897,230,1974,4,3,4/3/1974,22:45:00,3,TN,47,34,1,0,0,3,0,36.03,-85.4,36.05,-85.35,3,100,0.053852
