FID,OM,YR,MO,DY,DATE,TIME,TZ,ST,STF,STN,MAG,INJ,FAT,LOSS,CLOSS,SLAT,SLON,ELAT,ELON,LEN,WID,Shape_Leng
23407,44,1963,3,11,3/11/1963,21:00:00,3,TN,47,7,2,1,1,5,0,36,-83.12,36.03,-83.02,6.2,200,0.104403
23637,63,1967,3,12,3/12/1967,5:30:00,3,TN,47,1,2,5,1,5,0,36.13,-82.92,36.25,-82.67,16,300,0.277309
23671,201,1967,4,22,4/22/1967,7:05:00,3,TN,47,2,2,0,0,5,0,36.2,-82.68,36.2,-82.68,0.2,250,0.000148
24447,553,1964,8,12,8/12/1964,3:30:00,3,TN,47,5,2,6,0,4,0,35.37,-85.4,35.37,-85.4,0.8,33,0.000146
24456,76,1965,3,17,3/17/1965,11:00:00,3,TN,47,8,1,0,0,3,0,36.1,-84.6,36.1,-84.6,0.1,10,0.000147
24465,77,1965,3,17,3/17/1965,11:47:00,3,TN,47,7,1,0,0,3,0,35.63,-84.25,35.63,-84.25,0.1,10,0.000147
24511,188,1965,4,15,4/15/1965,13:50:00,3,TN,47,9,2,0,0,4,0,36.35,-84.92,36.42,-84.85,5.9,327,0.098995
24513,189,1965,4,15,4/15/1965,16:13:00,3,TN,47,10,3,0,1,5,0,35.87,-85.08,35.87,-84.97,6.5,200,0.11
24518,190,1965,4,15,4/15/1965,16:25:00,3,TN,47,11,3,50,0,6,0,35.18,-84.87,35.3,-84.75,10.4,600,0.169706
24523,192,1965,4,15,4/15/1965,17:30:00,3,TN,47,12,2,6,0,6,0,35.87,-84.08,35.95,-84,7.4,200,0.113137
24592,149,1966,5,13,5/13/1966,15:00:00,3,TN,47,3,1,0,0,4,0,35.93,-85.47,35.93,-85.47,0.1,10,0.000147
24950,63,1963,3,19,3/19/1963,18:15:00,3,TN,47,9,2,3,0,5,0,35.18,-84.9,35.2,-84.85,3.3,150,0.053852
24951,64,1963,3,19,3/19/1963,18:30:00,3,TN,47,10,2,1,0,4,0,35.45,-84.65,35.48,-84.6,3.6,200,0.05831
25712,35,1963,3,11,3/11/1963,16:20:00,3,TN,47,3,2,0,0,4,0,35.73,-86.53,35.73,-86.53,2,100,0.000146
25716,40,1963,3,11,3/11/1963,18:00:00,3,TN,47,5,2,0,0,5,0,35.68,-85.77,35.62,-85.72,5.2,100,0.078103
25721,41,1963,3,11,3/11/1963,19:00:00,3,TN,47,6,2,6,0,5,0,35,-85.72,35.15,-85.53,14.7,200,0.242074
25730,57,1963,3,19,3/19/1963,12:40:00,3,TN,47,8,2,0,0,5,0,36.6,-86.63,36.57,-86.38,14,1000,0.251794
25788,700,1964,12,25,12/25/1964,22:00:00,3,TN,47,6,1,0,0,6,0,36.07,-86.77,36.12,-86.68,5.7,67,0.102956
25799,72,1965,3,17,3/17/1965,8:00:00,3,TN,47,3,1,1,0,4,0,35.7,-85.8,35.7,-85.8,1,33,0.000146
25801,74,1965,3,17,3/17/1965,9:00:00,3,TN,47,5,1,0,0,3,0,36.12,-86.42,36.12,-86.42,0.1,10,0.000147
25805,75,1965,3,17,3/17/1965,9:30:00,3,TN,47,6,1,2,0,5,0,35.83,-85.53,35.83,-85.53,2,73,0.000147
25861,53,1966,4,12,4/12/1966,12:00:00,3,TN,47,1,1,0,0,3,0,35.93,-86.17,35.93,-86.17,1,73,0.000147
25863,121,1966,4,30,4/30/1966,12:00:00,3,TN,47,2,1,0,0,0,0,36.1,-86.1,36.1,-86.1,0.1,10,0.000147
